,score,text,title
0,60.0,"The Doors sopii kesään. Robby Kriegerin pirteät slide-liut kitarankaulalla, Ray Manzarekin hapokkaissa hippiväreissä soivat synat, John Densmoren tiukan dynaaminen rumpusoundi ja tietysti Jim Morrison. Yksi 60-luvun hippivuosien kulttihahmoista saa ajatuksissa taustalleen aina kesän, kuumat Los Angelesin klubit ja kukat hiuksissaan tanssivat tytöt. Lieko bändin kesäisyys syynä siihen, miksi The Doorsista kertova When You're Strange -dokumentti julkaistaan Suomessa juuri nyt, kesän ollessa parhaimmillaan. Dokumentti käsittelee The Doorsin vaiheet bändin synnystä levyjen julkaisuun, suureen suosioon ja lopulta sen surulliseen päätökseen. Tarina on jokaiselle Doors-fanille varmasti tuttu, mutta sitä tukemassa on ennenäkemätöntä arkistomateriaalia ja varsin onnistunut kertojaääni. Alkuperäinen kertoja sai elokuvan ensiesityksessä Sundance Film Festivaleilla täystyrmäyksen, joten ohjaaja Tom DiCillo äänitti narraation uudestaan, tällä kertaa lukijaksi valikoitu nappivalinta, Johnny Depp. Elokuva on mukavan tiivis paketti bändin historiasta, eikä turhia polveile 60-luvun yhteiskuntamurroksessa muuten. Pisteet myös Morrisonin tarinan napakasta päätöksestä ja kuoleman glorifioimattomuudesta. Jokainen elokuvan katsoja varmasti tietää miten siinä tarinassa kävi, turhalle mässäilylle ei ole tarvetta. Päihteiden värittämän elämän ennenaikainen päättyminen on aina surullista ja turhaa, tuskin monikaan meistä tarvitsee elokuvaa sitä itsellemme kertomaan.Kun itse ensimmäisen kerran teini-ikäisenä kuulin Strange Days -kappaleen, hullaannuin ennen kaikkea biisin huikeisiin bassomelodioihin. Rakastin bassosooloa, joka helpohkosta rakenteestaan huolimatta jyrää edelleen enemmän, kovempaa ja sielukkaammin kuin moni kikkaileva ja teknisesti haastava bassotilutus. Yllätys oli suuri kun tajusin, ettei bändissä ole perinteistä basistia ollenkaan, vaan kiipparisti Ray Manzarek vastaa myös bassolinjoista kosketinsoitin-bassollaan. Siitä lähti oma suosikkini-Doorsini on ollut Manzarek. Sillä vähän harmittaakin, että dokumentti kallistuu loppua kohti keskittymään hurmoksellisen keulakuvansa hitaaseen, mutta varmaan maahansyöksyyn. Ymmärtäähän sen sinänsä, että tasapainoiset ja kiltit ammattimuusikot eivät ole erityisen jännittäviä seurattavia sekoilevaan kulttihahmoon verrattuna, mutta olisi ollut mielenkiintoista kuulla jotain bändin vaihesta Morrisonin menehtymisen jälkeenkin. Jäljellejäänyt kolmikkohan julkaisi keskenään vielä kolme albumia, Other Voicesin, Full Circlen ja An American Prayerin, joista viimeisellä kuullaan Morrisonin runoja puhuttuna musiikin soidessa taustalla.","Tarina on Doors-fanille varmasti tuttu, mutta tukemassa on ennenäkemätöntä arkistomateriaalia ja varsin onnistunut kertojaääni"
1,50.0,"Oscar Z. Acosta,  Karl Lazlo ja lopulta Dr. Gonzo oli, tai saattaa olla vieläkin, koska sen asian suhteenhan ei koskaan saatu lopullista varmuutta, Hunter S. Thompsonin mukaan ainutlaatuinen ihminen. Hän tuli tunnetuksi Yhdysvaltain runsaslukuisen meksikaaniväestön kiihkeänä puolustajana, mikä ei aiheena itsestään kouraise eurooppalaisia syvältä sisimmästä. Tietenkin, monet meistä näkevät hänet beniciodeltoromaisena, hieman tukevampana heppuna, joka huumehöyryissään uhittelee kuin Ison Talon Antti tuhopoltoilla ja murhilla, mutta vaikuttaa varsin joviaalilta miekkoselta, vaikket uskaltaisikaan jäädä aseistautumatta yksin samaan huoneeseen kuin hän. Where the Buffalo Roam perustuu Thompsonin muistokirjoitukseen Acostasta, mikä julkaistiin 1977 Rolling Stone – lehdessä, mutta pomppii huolettomasti journalistiikan tohtorin muunkin tuotannon päällä.Kun aloittaa leffan katsomisen ja muistaa elävästi Johnny Deppin räjähtävän roolisuorituksen räikeään paitaan ja hupsuihin aurinkolaseihin verhottuna, ei tarvitse olla ruudinkeksijä tietääkseen, että Bill Murraylla tulee olemaan raskas taakka kannettavanaan. Miten ylittää Deppin roolisuoritus tai miten ylipäänsä roikkua tuon vainoharhaisen piripään paidanhelmoissa? Onnekseen mies oli viettänyt huomattavan määrän aikaa Thompsonin seurassa roolia varten, joten mikäli Deppin suoritusta pitää viimeistä vetoa myöten erinomaisen onnistuneena potrettina Hunter S. Thompsonista niin on sanottava, että Murray pääsee lähelle. Jokainen sana tai ele tai pilke silmäkulmassa on kuin hienostunut alkupala lähes kaksi vuosikymmentä myöhemmin julkaistulle Pelolle ja Inholle. Vastaavasti Peter Boylesta, jonka nimi tulee muuten alkuteksteissä ensimmäisenä, ei voi sanoa samaa. Ehkä odotin enemmän alkoholipitoisiin virvokkeisiin upotettuja liskojen öitä, mutta selvää on, että Boylen roolisuoritus on naurettavan vaisu Benicio Del Toroon verrattuna.Naurettavan vaisua on myös ohjaus verrattuna Terry Gilliamin hyvien trippien, huonojen trippien ja krapuloiden kyllästämään suureen tajunnanvirtaan. Tehdessään jotain mielekästä ihminen kokee tunteen, jota psykologiassa kutsutaan flow – ilmiöksi. Aika kuluu kuin varkain, sillä olet niin uppoutunut siihen mihin ikinä oletkaan uppoutunut ja mikäli et kokenut tätä Pelon ja Inhon aikana, niin varaa aika lääkärille, sillä et ole normaali. Where the Buffalo Roam puolestaan on niin karkean töksähtelevästi leikattu, niin hyppivästi koottu sillisalaatti vailla mitään suurempaa suuntaa, että kelloa tulee vilkuiltua pakostakin. Jos Thompsonin kaltaista, helvetin omituista ja kiehtovaa ihmistä yrittää sijoittaa kaiken sen tavanomaisuuden keskelle, niin on siinä mindfuckia kerrakseen, eikä edes termin hyvässä mielessä. Ja vaikka filkalla on kieltämättä muutamat hyvät hetkensä, ei se pysty luomaan samanlaista, äärimmäisen kiehtovaa omituisten otusten illuusiota kuten Pelko ja Inho.",Naurettavan vaisu
2,40.0,"Elokuva-alan ammattilaiset Cornelia (Naomi Watts) ja Josh (Ben Stiller) ovat nelikymppinen lapseton newyorkilaispariskunta. Ystäväpiiriin putkahtelee tiuhaan tahtiin vauvoja ja Joshin filosofinen dokumenttiprojekti polkee paikoillaan, mutta pariskunta nauttii huolettomasta vapaudestaan kohtalaisen tyytyväisenä elämäänsä. Arki sähköistyy, kun nuori, dynaaminen elokuvaohjaaja Jamie (Adam Driver) ja vaimonsa Darby (Amanda Seyfried) tulla pölähtävät pariskunnan elämään. Hipsterihenkisen nuorenparin vallaton boheemius ja kyky elää hetkessä valloittavat Joshin ja Cornelian, herättäen heissä uuden nuoruuden kaipuun. Nämä keski-ikäiset sankarit imaistaan innolla mukaan nuorten kuvioihin sekä Jamien kökköön dokumenttiohjaukseen. He hakeutuvat nuorenparin seuraan ennen kaikkea piristääkseen itseään, ja juonen taitekohdassa myös Jamien ja Darbyn ystävällisyyden todelliset motiivit paljastuvat. Loppuminuutit mussutellaan tätä paljastumista sekä viime hetken vauvakuumetta. While We're Young on arvosteluissa tullut verratuksi Woody Allenin klassikkoon Crimes and Misdemeanors (1989, suom. Rikoksia ja rikkomuksia). New Yorkin kotoisuutta korostava miljöö, eloisat ja itsetietoiset henkilöhahmot, reipastempoinen dialogi ja nokkeluuteen pyrkivä käsikirjoitus toivat kyllä mieleeni Allenin, mutta kokonaisuutena While We're Young ei mielestäni kurkota edes Allenin epäonnistuneimpien elokuvien rinnalle. Juoni pitää sisällään aineksia kunnon draamalle, mutta tyytyy mieluummin etenemään alusta loppuun kuin juna tunnelissa. Jännitteen ja hersyvän huumorin puuttuessa tämän ""draamakomedian"" taitekohdat lähinnä haukotuttivat. Itseäni eniten huvittava elementti oli nelikymppisen pariskunnan epätoivoinen nuoruuteen ja cooliuteen takertuminen, joka tosin laantuu lopussa mahdollisimman soveliaalla tavalla. Kenties neljänkympin murrosta käsittelevä katsoja samaistuisi tarinaan paremmin kuin minä.","Mitäänsanomaton ""aikuisten komedia"""
3,100.0,"Andrew Neiman (Miles Teller) on 19-vuotias kunnianhimoinen jazzrumpali, joka saa ilokseen kuulla, että hänen musiikkiopistonsa arvostettu opettaja Terence Fletcher (J. K. Simmons) haluaa hänet mukaan koulun yhtyeeseen. Andrew saa pian huomata, että Fletcherin opetusmetodit ovat vähintäänkin kyseenalaiset: pelolla luokkaansa hallitseva Fletcher ei epäröi käyttää sekä henkistä että fyysistäkin väkivaltaa saadakseen oppilaansa ajettua haluamiinsa tuloksiin.Aluksi Andrew saa tyytyä vararumpalin rooliin, mutta erään jazzkilpailun tauolla yhtyeen varsinainen rumpali kadottaa nuottinsa. Andrew kertoo muistavansa Whiplash-kappaleen ulkoa ja Fletcher antaa hänen soittaa kilpailussa. Esitys onnistuu erinomaisesti ja Andrew saa jatkaa yhtyessä aiemman rumpalin paikalla. Pian tämän jälkeen Fletcher antaa Andrewin paikan tylysti uudelle tulokkaalle, mikä ajaa Andrewin harjoittelemaan niin paljon, että hänen kätensä menevät verille. Andrewin yksityiselämä kärsii yhä enemmän hänen yrittäessään tehdä vaikutusta Fletcheriin: hän jättää tyttöystävänsä Nicolen (Melissa Benoist) voidakseen omistaa kaiken aikansa rummuille.Whiplash on nerokkuutensa lisäksi ilmestymisvuotensa hypnoottivisin, intensiivisin ja hengästyttävin draama nuoresta rumpalista ja tämän vaativasta opettajasta. Tämän myötä Damien Chazelle nousee amerikkalaisten huippuohjaajien joukkoon. Chazellen omiin kokemuksiin perustuva elokuva ei kerro pelkästään jazzista ja musiikista, vaan ihmisistä, jotka ovat valmiita antamaan kaikkensa, jotta he voisivat olla parhaita. Kaiken lisäksi Andrewin rumpusoolo elokuvan lopussa on suorastaan huikeaa ilotulitusta, sekä yksi parhaimpia loppukohtauksia kautta aikojen, sekä leikkaus on nopeatempoinen ja tyylikkäästi toteutettuMiles Teller on erinomainen menestystä pakkomielteisesti janoavana Andrewina, mutta elokuvan todellinen tähti on J. K. Simmons, joka hurjaluonteisuudellaan, jääräpäisyydellään ja hirviömäisyydellään on Oscarinsa ansainnut, tehden kenties uransa parhaimman roolisuorituksen. Kaksikon välinen yhteenotto dominoi koko tarinaa ylivoimaisesti, mikä onkin elokuvan paras kohokohta, ja jonka aikana katsoja oppii samaistumaan molempiin hahmoihin, sekä tutustumaan näihin paremmin.Simmons palkittiin roolistaan parhaan miessivuosan Oscarilla, Golden Globella, Baftalla ja SAG-palkinnolla. Elokuva oli ehdolla viiteen Oscar-palkintoon vuonna 2015, muun muassa parhaasta elokuvasta ja sovitetusta käsikirjoituksesta.",Voittoisa ja innostava jazz-draama
4,60.0,"Whipped on mukava piristys komedioiden joukossa. Tämäkin tarjoilee alapäähuumoria, mutta hieman aikuisempaan makuun. Se on kertomus kolmesta kaveruksesta, jotka rakastuvat samaan naiseen (Amanda Peet), milloin heidän ystävyytensä joutuu koetukselle. Jätkäporukka kokoontuu sunnuntaiaamuisin kertomaan viikon naissekoilut, mutta poikien yhteinen harrastus näyttää tuhon merkkejä, kun he tajuavat löytäneen unelmiensa naisen, joka valitettavasti on kaikilla sama.Leffa on ihan näppärä ja hauska. Viihdyttävyyden ohella elokuva tarjoaa myös ajattelemisenarvoisia ajatuksia. Ei tämä tietenkään mikään erikoinen pläjäys ole, mutta ainakin yhden katsomiskerran tämä ansaitsee. Käsikirjoittajaohjaaja Peter M. Cohen suoriutuu käsikirjoituspuolella loistavasti, ohjaus olisi saanut sujua hieman paremmin. Ulkoasussa on jotain, mikä ei viehätä. Se on jotenkin suttainen tai jotain sellaista, mikä saa tämän muistuttamaan hieman b-luokan elokuvaa, mitä tämä ei kuitenkaan ole.Näyttelijät ovat tuntemattomia Amanda Peetiä lukuun ottamatta, mutta kaikki vetävät hommansa kunnialla läpi, paitsi poikaporukan ukkomiestä, Ericiä, näyttelevä Judah Domke on suoraan sanottuna ärsyttävä. Amanda Peetiä kauniimpiakin tyttöjä varmasti löytyy, mutta Peet sopii kuitenkin ihan hyvin tuohon rooliin.","Vähälle huomiolle jäänyt, älykäs alapääseudun vitsejä lateleva komedia."
5,70.0,"Ulko-Hebridit ovat saariryhmä Skotlannin rannikolla. Niiden asukkaiden yksinkertaisena kulttuuri-ilona on usquebaugh, viljasta tislaamalla valmistettu juoma. Kyseisen turvesavulla kuivattavan janojuoman loppuminen saarelta onkin suuri tragedia ja johtaa suureen melankoliaan. Onneksi rahtialus S/S Cabinet Minister kokee haaksirikon ja sen lastina 50 000 laatikkoa kyseistä kallisarvoista eliksiiriä. Sehän laittaa janoiset paikalliset liikkeelle ja British Home Guardin kapteeni Waggett (Basil Radford) on  kylläkin kärkkäänä estämässä moista konnuutta mikä nauttii laajamittaisesta yleisestä hyväksynnästä.Alexander Mackendrickin ohjaama komedia luottaa velmujen paikallisten ja tärkeilevän esivallan ristiriitaan. Basil Radfordin perienglantilaisen korrekti olemus on hykerryttävä vastakohta epämääräisiä skottiaksentteja vääntäville paikallisille joiden elämää hallitsee hyvin traditionaalinen käytös, sillä sapatti on harmillinen este mielihalujen toteuttamiselle. Moninaiset sivujuonet antavat tarinaan sisältöä pelkän alkoholipohjaisen kohelluksen lisäksi ja loppu on luonnollisesti onnellinen.",Velmujen paikallisten ja tärkeilevän esivallan ristiriita.
6,50.0,"Kolmen vuoden kakun jälkeen vapauteen päässyt pikkurikollinen Max Truemont (Holloway) haluaisi perustaa kahvilan tyttöystävänsä Roxin (Callies) kanssa, mutta raha tilanne ei oikein anna periksi. Kuitenkin yksi vanha kaveri Sydney (Rooker) saa houkuteltua kaksikon mukaan erään rikkaan 8-vuotiaan pojan Davidin (Woodruff) kidnappaukseen, joka onnistuukin hyvin. Poika viedään talvisen mainen syrjäiselle mökille piiloon. Pian kidnappaajien keskuudessa alkaa tapahtua outoja asioita, eikä lopulta ruumiltaakaan vältytä.Jos kuiskauksia kuulet nyt, niin takuulla yllätyt. Tuota lausetta kannatta pitää mielessä katselessa kauhuelokuva Whisperiä, joka lopputekstien jälkeen jättää hieman kaksipiipuisen olon. Whisper ei missään vaiheessa ole täysin huono kauhuelokuva, mutta ei se loistavuudellakaan juhli. Whisper lainaa ideaa enemmän kuin tarpeeksi Richard Donnerin kauhuelokuvasta The Omen ja toisaalla päästään myös käymään The Ransom-lunnaat tyylisessä kidnappaus-trillerissä, mutta kidnappaus-trilleriä ja yliluonnollista kauhua sekoitetaan toimivasti keskenään. Tosin viimeisen vartin aikana homma luisuu jälleen tyypilliseksi tehoste-arseenaliksi, mutta viimeinen kohtaus tarinassa jättää pienen hymyn suupieleen.Seuraavassa on luvassa pieni ""spoiler"".Whisperin kuvaus on hienoa ja toimivaa työtä. Talvinen metsä ja sen ympäristä tuntuu ja näyttää kauniilta. Ohjaaja Stewart Hendler kuvaakin yhden elokuvan hienoimmista kohtauksista joen rannalla, jossa David katselee tyynen rauhallisena jäihin hukkuvaa Joel Edgeronin esittämää rikollista ja taustalla soi rauhallinen score, mutta valitettavsti muita vastaavia kohtauksia ei Whisperissä ole. Whisperissä olisi ollut potenttiaalia viedä elokuva vieläkin pidemmälle, mutta ilmeisesti tekijät päättivät lopettaa leikin lyhyeen, mikä on sinänsä harmi.Tv-sarja Lostista yhä useampi tähti on lähdössä näyttelmään omiin elokuviin ja tällä kertaa onneaan kokeilee Josh 'Sawyer' Holloway, joka tekeekin varsin kelvollisen roolin pikkurikollisena Maxina. Michael Rooker ja Joel Edgerton eivät kauaa ruutuaikaa saa, mutta hoitavat roolinsa kelvollisesti. Pakollisen etsivän rooliin satsattu Dulé Hill jää hieman sivulle koko pelistä. 13-Vuotias Blake Woodruff osaa olla puolestaan sopivan jäätävä ja kylmä kohtalokkaan Davidin roolissa. Tv-sarja Paosta tuttu Sarah Wayne Callies puolestaan ei vakuuta sitten lainkaan, vaan näyttelee pökkelö-ilme naamallaan koko elokuvan läpi.","Ei missään vaiheessa ole täysin huono kauhuelokuva, mutta ei se loistavuudellakaan juhli."
7,30.0,"Kevin ja Marcus ovat poliisipari jolla ei oikein ole viimeaikaiset FBI-pidätykset menneet putkeen. Hyvään keikkaan läsähtää mahdollisuudet kun suihkuseurapiirien kuuluisa blondikaksikko tarvitsee saattosuojelua kidnappausuhan takia. No asiat menevät tietenkin jo alkumetreillä mönkään ja veljekset joutuvat tekemään ratkaisun jossa he joutuvat astumaan seurapiirichicksien rooleihin. Hieman kinkkisemmän tapauksesta tekee se että veljesten sukupuolen lisäksi ihon väri satuu olemaan eri kuin tulevilla roolihenkilöillä. Eli kyseessä on veretseisauttava drag-show, jossa rikotaan niin sukupuolten kuin rotujen väliset raja-aidat.Elokuva on yhtä älytön kuin sen perusasetelmakin antaa ymmärtää. Toinen asia on tietenkin se että ketä asetelma jaksaa kiinnostaa saati huvittaa. Tietenkin juttu viedään Tootsieta ja Mrs. Doubtfirea pidemmälle, mutta kun koko sopan ainekset on ammennettu jo aiemmin usempaan otteeseen lämmitetystä keitosta maustettuna aika mielikuvituksettomilla vitseillä, ei katsojalle paljoa jää naureskeltavaa. Tarina itsessään on tyhjänpäiväinen ja koko homma nojautuukin nimenomaan ideaan, jossa kaksi mustaa miestä esittää bimboblondeja ""Leidit landella""-hengessä. Nicole Richien ja Paris Hiltonin edesottamukset ovat varmasti elokuvan suurimmat alkulähteet. Asetelma tuntuu nykykomediassa olevan lähes poikkeuksetta samasta muotista valettu. Olematon, lapsellinen juoni täytetään alarvoisella, ""aikuisten"" huumorilla, josta parhaimmat kiksit saa kuitenkin esipuberteetin kourissa nääntyvät miehenalut.",Kökköhuumorin ystävät saavat kulutettua elämästään tämän parissa vajaan kaksituntisen vaivatta.
8,70.0,"Amerikan kuuluisin ja tarkimmin vartioitu rakennus Valkoinen talo joutuu jo toisen kerran hyökkäyksen kohteeksi lyhyessä ajassa elokuvassa White House Down. Hollywoodin elokuvamarkkinoilla on ollut tapana tehdä aina silloin tällöin samasta aiheesta kaksi elokuvaa kilpailemaan keskenään kuten mm (Meteoriitti uhkaa maata 1998 (Armageddon & Deep Impact), Mars-planeetalla vierailu 2000 (Operaatio Mars & Red Planet), Syyskuun 11 terrori-iskut (2006) (United 93 & World Trade Center), ja Lumikki tarinat (2012) (Mirror Mirror & Lumikki  ja Metsästäjä). Tänä vuonna Antoine Fuguan ohjaama Olympus Has Fallen ja viime vuosina suurista luonnonkatastrofeista ja Shakespearen näytelmä-kirjoituksista elokuvan tehnyt Roland Emmerich pääsivät tekemään kumpikin elokuvan, jossa Valkoinen talo joutuu massiivisen hyökkäyksen kohteeksi ja tämän jälkeen yksi mies jää kaiken keskelle. Keväällä ilmestynyt Olympus Has Fallen oli viihdyttävä tykitys 1980-1990-luvulla tehtyjen toimintaelokuvien hengessä ja ei White House Down yhtään hassumpi toimintatrilleri ole ja kummankin elokuvan suurin tien näyttäjä on toimintaelokuvien ikoni Die Hard.Washingtonissa poliisina toimiva entinen sotilas John Cale (Channing Tatum) haluaisi päästä etenemään urallaan ja pyrkii presidentti James Sawyerin (Jamie Foxx) ympärillä toimivaan salaiseen palveluun. Erikoisagentti Finnerty (Maggie Gyllenhaal) kuitenkin evää Calen pyynnön toistaiseksi. Cale haluaa kuitenkin viedä tyttärensä Emilyn (Joey King) vierailulle Valkoiseen taloon tapaamaan presidenttiä ja puhemiestä Raphelsonia (Richard Jenkins). Samaan aikaan katkeraa kaunaa kantava Stenz (Jason Clarke) iskee voimalla Capitolin ytimeen ja pistää hetkessä Amerikan johdon eristyksiin. Cale onnistuu kaaoksen keskellä livahtamaan sivummalle muusta porukasta.White House Down ei kertaakaan yritä tuoda mitään uutta mihinkään, vaan tarjoaa perus-viihdyttävän toimintatrillerin, joka naulitsee teatterin penkkiin kestonsa ajaksi mukavasti. Roland Emmerich saa tarinan hyvin rullaamaan eteenpäin ja paljoa ei hengähdystaukoja matkan varrella ole mukana. Itse hyökkäys Amerikan sydämmeen on toteutettu varsin näyttävästi ja äänentoisto saa teatterinpekit tärisemään, kun puoli Capitolia romahtaa ja Air Force One ammutaan sivussa alas. Tälläisen tuhokuvaston Roland Emmerich hallitsee vaikka päiväunilla. Toisaalta ei ole kuin vajaa 12 vuotta kun ihmiset juoksivat oikeasti pakoon sortuvia kuuluisia rakennuksia.James Vanderbiltin (Zodiac & The Amazing Spider-Man) kynäilemän tarinan toimivin osuus oli pistää vihollinen tulemaan omasta maasta, eikä ainaisista Koreasta tai Lähi-Idästä. Vanderbilt on tarinan varrelle varannut myös pari toimivaa twistiä. Tunnelma pysyy koko ajan sopivan uhkaavana, vaikka välillä presidentin ja Calen välillä onkin havaittavissa pientä läpänheittoa toimintaelokuvien hengessä. Siinä missä Olympus Has Fallen esitti toiminnan R-merkinällä on White House Down pistetty esittämään väkivalta PG-13 rajoituksella, joten niskat saa jälleen taittaa ja ihmistä ampua, mutta rankimmat kohtaukset on jätetty kuvan ulkopuolelle. No kyllä tässä silti menoa ja ryminää riittää senkin edestä.Channing Tatumin valinta päärooliin ei varmaan miellytä kaikkia ja ei hän mikään Bruce Willis tai Gerard Butler ole, mutta yksin kaikkia vastaan salakavalasti joutuvan Calen roolin Tatum hoitaa ihan kohtalaisen toimivasti. Jamie Foxx tekee pirteän roolin presidenttinä, joka ei jää katsomaan sivusta kun oma maa joutuu hyökkäyksen kohteeksi. Jason Clarken pääpahis Stenz ei nouse pahisten eliittiin, mutta ihan hyvin Clarke uhoilee psyko-terroristina. Aina mainiot veteraanit Richard Jenkins puhemiehenä ja pitkästä aikaa valkokankailla nähtävä James Woods yhtenä presidentin tuvamiehistä tekevät hyvät roolit. Maggie Gyllenhaal Calea ohjaavana erikoisagenttina ja Joey King Calen tyttärenä pärjäävät myös toimivasti rooleissaan. Jimmi Simpson on pahisten operaattori, Lance Reddick armeijan kenraali ja Jake Weber yksi salaisen palvelun agentti.Kokonaisuutena White House Down on viihdyttävä popcorn rymistely Roland Emmerichin tapaan Die Hardin hengessä.",Viihdyttävä popcorn rymistely Roland Emmerichin tapaan Die Hardin hengessä.
9,50.0,"Roland Emmerich taitaa kyllä Amerikkaan kohdistuvat hyökkäykset ja tuhot elokuvissaan. Monet varmaan muistavat mm. miten Valkoinen talo räjäytettiin alienien toimesta Independence Dayssä tai miten Godzilla talloi New Yorkin katuja. Tällä kertaa isketään jälleen sinne Amerikan pyhimpään, nimittäin suoraan Valkoisen talon ytimeen. Nyt on kyseessä kuitenkin inhimillisempi vihollinen, vaikka tuhoa saadaan silti aikaan ihan tarpeeksi.Juoni on melko yksinkertainen: John Cale (Tatum) on entinen sotilas, nykyinen poliisi, joka haluaisi presidentti James Sawyerin (Foxx) turvamieheksi salaiseen palveluun.  John vie tyttärensä (King) kierrokselle Valkoiseen taloon, mutta yllättäen paikan ottaa valtaan joukko aseistuneita miehiä, jotka vaativat presidenttiä itselleen ja pian koko Amerikka on polvillaan... John onnistuu kuitenkin livahtamaan karkuun miehiltä ja ryhtyy itse taisteluun presidentin, Valkoisen talon ja tyttärensä pelastamiseksi.Elokuvan käsikirjoitus ei omaperäisyydellään loista, vaikka siihen onkin upotettu pari yllätystä. White House Down ei myöskään tarjoile mitään uutta ja uskottavuudessa mennään monesti yli ja korkealta. Päähenkilö lentää ikkunoiden läpi, putoaa talon katolta, saa monesti turpaan, väistelee luotisuihkuja, eikä saa naarmun naarmua. Toisaalta ei näitä elokuvia usein olekaan kovin realistisiksi tarkoitettu, vaan viihdearvo on niiden ainoa arvo. White House Down onkin varmaan itsetarkoituksella tehty popcorn-nuorisoa varten. Näyttelijät ovat yllättävän hyviä ja isoja nimiä tällaiseen elokuvaan. Channing Tatum on pääosassa ihan ok ja Foxx presidenttinä tekee ihan perushyvää työtä, mutta sivuosista löytyy sellaisiakin konkareita kuin James Woods ja Richard Jenkins. Elokuva on yllätyksetön ja tyypillinen jenkkitoiminta, jossa kaikista muovataan sankareita pikkutyttöä myöten. Myös elokuvan presidentti, joka on ehdottomasti rauhan ja väkivallattomuuden kannalla, tarttuu kuitenkin tanakasti aseeseen ja ampuilee terroristeja päähenkilömme rinnalla. Elokuvan positiiviset seikat ovat näyttelijät ja sen nopea tempo, jonka turvin se jaksaa viihdyttää koko kestonsa ajan. Montaa katselukertaa tämä tapaus ei kuitenkaan kestä, eikä mistään historiaan jäävästä elokuvasta ole kyse. Mutta aivotonta ja viihdyttävää rymistelyä kaipaaville se on oiva valinta pimeneviin syysiltoihin.","Tyypillinen jenkkitoiminta, jossa kaikista muovataan sankareita pikkutyttöä myöten."
